 FINAL SCORE:  468 ||| A: -0.6163673136787703 | B: -0.3515438767120661 | C: -0.36670842816765375 | D: 0.6471657887251134 | 
FINAL SCORE:  407 ||| A: -0.6642257640956416 | B: -0.01084781166058224 | C: -0.18286666452809153 | D: 0.36773527907286635 | 
FINAL SCORE:  364 ||| A: -0.564524506217316 | B: -0.08548493834405846 | C: -0.3116232244225573 | D: 0.5530250122067787 | 
FINAL SCORE:  290 ||| A: -0.4465122237703148 | B: -0.34749506579211276 | C: -0.37898211619452127 | D: 0.6858824902564163 | 
FINAL SCORE:  278 ||| A: -0.6365123788226343 | B: -0.216727194141216 | C: -0.2000729282054715 | D: 0.5186033123706802 | 
FINAL SCORE:  334 ||| A: -0.6107107580104969 | B: -0.15637668695334545 | C: -0.15991690575751788 | D: 0.4821960052009173 | 
FINAL SCORE:  377 ||| A: -0.3296842836988465 | B: -0.20405917943354354 | C: -0.5236229056271745 | D: 0.4367395342067062 | 
FINAL SCORE:  338 ||| A: -0.537975423204254 | B: -0.23709746455713734 | C: -0.2927178910800561 | D: 0.5200952821532632 | 
FINAL SCORE:  524 ||| A: -0.4202111921689349 | B: -0.32459162380188555 | C: -0.47733040785534514 | D: 0.628082566175935 | 
FINAL SCORE:  346 ||| A: -0.6038131562199056 | B: -0.1911459131606754 | C: -0.17427689174271505 | D: 0.6356231798050418 | 
FINAL SCORE:  68 ||| A: -0.4962182643350104 | B: -0.3577565995062695 | C: -0.4163742470740582 | D: 0.4444168924939953 | 
FINAL SCORE:  529 ||| A: -0.4172346493870113 | B: -0.27257823488308497 | C: -0.49856519766919527 | D: 0.5070675499194939 | 
FINAL SCORE:  334 ||| A: -0.4676736247780624 | B: -0.2996670875397667 | C: -0.48762460034041183 | D: 0.3587222713803734 | 
FINAL SCORE:  272 ||| A: -0.5614785930141913 | B: -0.0148529010679751 | C: -0.31524564404782224 | D: 0.7418770770762708 | 
FINAL SCORE:  665 ||| A: -0.6804616216680079 | B: -0.3316081682827199 | C: -0.49204386088036756 | D: 0.6827140871623212 | 
FINAL SCORE:  543 ||| A: -0.68243332193788 | B: -0.19917843785361466 | C: -0.18205454018308942 | D: 0.6427263344728715 | 
FINAL SCORE:  187 ||| A: -0.49748803122676827 | B: -0.11902967646536478 | C: -0.55078522227363 | D: 0.6468968832437474 | 
FINAL SCORE:  310 ||| A: -0.3458540611851903 | B: -0.16529044885925093 | C: -0.4208719235023912 | D: 0.7029612204090245 | 
FINAL SCORE:  438 ||| A: -0.6472830812968402 | B: -0.36251683218034236 | C: -0.34375660997498164 | D: 0.5099206118210465 | 
FINAL SCORE:  324 ||| A: -0.4296223049079497 | B: -0.20047028710039017 | C: -0.25945500890806067 | D: 0.7368758773030588 | 
FINAL SCORE:  237 ||| A: -0.581933646417364 | B: -0.2995656092663633 | C: -0.34834199153379997 | D: 0.4269870807874774 | 
FINAL SCORE:  326 ||| A: -0.5971044517762198 | B: -0.14638687754945676 | C: -0.4314314026537064 | D: 0.5663934293663997 | 
FINAL SCORE:  297 ||| A: -0.683612813671777 | B: -0.28386510909338447 | C: -0.2800484849078335 | D: 0.748581530759467 | 
FINAL SCORE:  120 ||| A: -0.46393844234927734 | B: -0.01531976264105972 | C: -0.33472060796325237 | D: 0.5575317032648117 | 
FINAL SCORE:  82 ||| A: -0.6147577563070539 | B: -0.22373650876498355 | C: -0.4485351288599997 | D: 0.4696474570660871 | 
FINAL SCORE:  82 ||| A: -0.4097910419698074 | B: -0.18187495386755442 | C: -0.23027474606861514 | D: 0.6135796160684114 | 
FINAL SCORE:  121 ||| A: -0.6335169598428908 | B: -0.21249485294694243 | C: -0.3452191722794635 | D: 0.6846027245381638 | 
FINAL SCORE:  74 ||| A: -0.4115495295763131 | B: -0.0034756910264212015 | C: -0.5257818458987419 | D: 0.4641762292412949 | 
FINAL SCORE:  134 ||| A: -0.5357964543652369 | B: -0.018894263157956448 | C: -0.37822730749108946 | D: 0.37279591905540677 | 
FINAL SCORE:  87 ||| A: -0.4340752275729445 | B: -0.36498322309678777 | C: -0.4796835307173885 | D: 0.512114662082097 | 
FINAL SCORE:  81 ||| A: -0.42037773642959486 | B: -0.07377379484855662 | C: -0.5511467876796003 | D: 0.5004982063766481 | 
FINAL SCORE:  216 ||| A: -0.3329200012727351 | B: -0.2705733295431103 | C: -0.4505914135683996 | D: 0.4830202743694503 | 
FINAL SCORE:  13 ||| FINAL SCORE:  138 ||| A: -0.5014330058798997 | B: -0.18141569320215636 | C: -0.415058652481593 | D: 0.4398575897564335 | 
FINAL SCORE:  246 ||| A: -0.4554840140488659 | B: -0.21328172390717814 | C: -0.4166551580046497 | D: 0.5083780014731656 | 
FINAL SCORE:  120 ||| A: -0.5132345257077344 | B: -0.12882952861457608 | C: -0.4156205375611247 | D: 0.6831749345480385 | 
FINAL SCORE:  6 ||| A: -0.3451290334225466 | B: 0.0066821035829209285 | C: -0.3031107701916978 | D: 0.6287584692988659 | 
FINAL SCORE:  19 ||| A: -0.36108576584878604 | B: -0.05699654739546289 | C: -0.34785456347797394 | D: 0.4119768145494399 | 
FINAL SCORE:  197 ||| A: -0.4001086556226488 | B: -0.09566994595013167 | C: -0.17938087245160617 | D: 0.6513421850229015 | 
FINAL SCORE:  332 ||| A: -0.479884653318711 | B: -0.0023137905297402894 | C: -0.480579764305304 | D: 0.6058437407155175 | 
FINAL SCORE:  120 ||| A: -0.6061602043065866 | B: -0.10906289647122519 | C: -0.49198115516010826 | D: 0.6742581538284094 | 
FINAL SCORE:  146 ||| A: -0.5233069926771399 | B: -0.3527624000922129 | C: -0.5034423885733054 | D: 0.66632290765291 | 
FINAL SCORE:  17 ||| A: -0.5299299005331572 | B: 0.010230702801967861 | C: -0.402192198110732 | D: 0.4943006747128982 | 
